Time Block,Time Desc,UNCHAHAR4,CHANDIGARH_UT,HARYANA_STATE,HIMACHAL_STATE,JK&LADAKH_UT,PUNJAB_STATE,RAJASTHAN_STATE,UTTARAKHAND_STATE,UTTARPRADESH_STATE
1,00:00-00:15,257.81,163.648608,2919.185045,898.471638,2463.055559,1974.661967,3464.07871,1227.060154,5707.888517
2,00:15-00:30,257.81,161.082531,2737.499105,898.471638,2443.905559,1931.031388,3474.577758,1201.031663,5118.275335
3,00:30-00:45,257.81,159.468834,2734.830379,891.722275,2428.118206,1896.707268,3357.696185,1159.794583,4695.92311
4,00:45-01:00,257.81,159.008397,2790.660379,891.722275,2418.538206,1901.877753,3157.87252,1153.094583,4785.328445
5,01:00-01:15,257.81,158.558834,2688.680379,891.722275,2380.228206,2138.280414,3067.126185,1178.954583,4997.936018
6,01:15-01:30,257.81,158.651078,2689.302499,832.705441,2361.068206,2101.513858,2922.379573,1186.414222,5143.46802
7,01:30-01:45,257.81,158.577848,2672.984188,833.885687,2334.682341,2050.716706,2671.771823,1181.414932,5070.022655
8,01:45-02:00,257.81,162.194796,2631.707506,889.092781,2325.112341,2039.346191,2652.884683,1175.163168,4953.621887
9,02:00-02:15,257.81,158.916086,2557.525911,951.247929,2296.271793,1967.255433,2641.004637,1151.021189,4822.659614
10,02:15-02:30,257.81,159.545658,2512.555911,912.931929,2296.271793,1971.167175,2615.993866,1146.231189,4803.810818
11,02:30-02:45,257.81,159.535857,2430.440861,902.175861,2294.594529,1912.959606,2608.67146,1136.173815,4660.937238
12,02:45-03:00,257.81,159.350575,2429.836461,939.069838,2294.594529,1916.307071,2597.819146,1149.629125,4573.40494
13,03:00-03:15,257.81,159.168853,2484.154021,910.33313,2303.497658,1918.624408,2397.201589,1133.277833,4463.35339
14,03:15-03:30,257.81,158.683004,2531.8067,911.754248,2303.497658,1920.063442,2401.334303,1134.379518,4456.487895
15,03:30-03:45,257.81,159.69315,2550.026377,883.139904,2332.237658,1943.081832,2399.983813,1139.169518,4446.057838
16,03:45-04:00,257.81,159.40124,2537.306377,883.139904,2332.237658,1943.448317,2387.954064,1151.619518,4434.058675
17,04:00-04:15,257.81,163.053447,2612.705368,891.065478,2335.490686,1994.241492,2428.499876,1149.082868,4427.063451
18,04:15-04:30,257.81,160.210365,2723.989699,905.508311,2341.460127,1975.884613,2781.825231,1129.205743,4247.045598
19,04:30-04:45,257.81,162.474542,2837.641392,983.675825,2357.797028,1999.225193,2921.138241,1164.952346,4642.507954
20,04:45-05:00,257.81,161.806212,2898.326529,983.675825,2396.107028,1949.168642,3019.543629,1194.290215,5255.719051
21,05:00-05:15,257.81,156.58711,3052.117261,983.675825,2434.427028,2602.753562,3306.513629,1189.885354,5682.369209
22,05:15-05:30,257.81,155.898446,3073.489761,983.675825,2482.327028,2270.450497,3586.703629,1205.028377,5899.465968
23,05:30-05:45,257.81,156.896701,3063.575319,993.918649,2485.246623,2486.824036,3858.213704,1238.928019,6154.852753
24,05:45-06:00,257.81,155.891367,3079.732686,1086.451789,2546.755179,2549.529942,4256.833803,1364.223137,6059.667744
25,06:00-06:15,329.81,178.635045,3179.194272,1409.483801,2579.152797,2615.680992,5153.019795,1441.038029,6203.283107
26,06:15-06:30,401.81,194.856118,3271.959634,1575.087852,2576.8464,2880.310387,5411.923062,1432.839547,6191.436818
27,06:30-06:45,468.75,223.773532,3485.750237,1769.719611,2614.170664,3030.0812,4410.46808,1614.066524,6318.787897
28,06:45-07:00,468.75,253.868413,3710.396894,1860.22903,2615.32178,3236.053446,3880.93918,1669.452859,6540.200818
29,07:00-07:15,468.75,268.379892,3982.95993,2050.897606,2709.245635,3646.202741,5471.864191,1723.377818,7392.741028
30,07:15-07:30,468.75,274.849479,4155.194875,2093.2974,2870.801799,3822.608187,5547.396309,1571.540466,7583.744068
31,07:30-07:45,468.75,283.912921,4157.383015,2123.194688,2959.709623,3949.629516,5577.30345,1485.744424,7774.745288
32,07:45-08:00,468.75,290.955611,4191.379987,2111.340984,2956.18904,3963.765471,5558.061175,1418.061971,7987.937463
33,08:00-08:15,468.75,306.052732,4300.444867,2076.270145,2839.032955,4314.518401,5614.323888,1470.886927,8325.275447
34,08:15-08:30,468.75,301.338287,4198.953788,2015.972893,2677.862341,4590.632911,5547.276837,1381.915169,8267.935716
35,08:30-08:45,468.75,272.59214,4021.351845,1766.261334,2573.759545,4432.129542,5253.497702,1339.032532,8068.28287
36,08:45-09:00,468.75,256.844024,3945.571962,1552.919207,2529.717193,4504.086309,5125.985287,1297.570993,8122.51801
37,09:00-09:15,468.742197,276.175436,4393.331857,1446.44564,2478.573532,4281.85788,5028.649957,1271.194472,8173.567986
38,09:15-09:30,468.75,269.819091,4545.968537,1352.390735,2484.693661,4293.616777,5011.770242,1261.82105,8238.59237
39,09:30-09:45,468.75,258.646276,4688.110551,1303.270145,2489.004044,4293.901943,5025.259097,1257.24401,8217.423336
40,09:45-10:00,468.75,266.148534,4607.771903,1191.123927,2556.165799,4348.23297,4980.16984,1249.594436,8252.782772
41,10:00-10:15,468.75,291.638534,4830.841903,1193.171297,2585.27479,4631.36297,4986.85984,1221.084436,8343.216339
